Topic: test-topic-0000000-1000-5FPR4wg  TopicId: GqXYichCSZOEPoLD--xQrA PartitionCount: 1000    ReplicationFactor: 3    Configs: min.insync.replicas=2,retention.ms=86400000,message.format.version=3.0-IV1,unclean.leader.election.enable=true
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 0    Leader: 5       Replicas: 5,8,4 Isr: 5,8,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 1    Leader: 9       Replicas: 9,6,7 Isr: 9,6,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 2    Leader: 11      Replicas: 11,10,12      Isr: 11,10,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 3    Leader: 13      Replicas: 13,14,15      Isr: 13,14,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 4    Leader: 2       Replicas: 2,1,3 Isr: 2,1,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 5    Leader: 4       Replicas: 4,5,8 Isr: 4,5,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 6    Leader: 7       Replicas: 7,9,6 Isr: 7,9,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 7    Leader: 12      Replicas: 12,11,10      Isr: 12,11,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 8    Leader: 15      Replicas: 15,13,14      Isr: 15,13,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 9    Leader: 3       Replicas: 3,2,1 Isr: 3,2,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 10   Leader: 8       Replicas: 8,4,5 Isr: 8,4,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 11   Leader: 6       Replicas: 6,7,9 Isr: 6,7,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 12   Leader: 10      Replicas: 10,12,11      Isr: 10,12,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 13   Leader: 14      Replicas: 14,15,13      Isr: 14,15,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 14   Leader: 1       Replicas: 1,3,2 Isr: 1,3,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 15   Leader: 10      Replicas: 10,14,11      Isr: 10,14,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 16   Leader: 12      Replicas: 12,4,7        Isr: 12,4,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 17   Leader: 1       Replicas: 1,13,9        Isr: 1,13,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 18   Leader: 3       Replicas: 3,8,6 Isr: 3,8,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 19   Leader: 2       Replicas: 2,15,5        Isr: 2,15,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 20   Leader: 11      Replicas: 11,10,14      Isr: 11,10,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 21   Leader: 7       Replicas: 7,12,4        Isr: 7,12,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 22   Leader: 9       Replicas: 9,1,13        Isr: 9,1,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 23   Leader: 6       Replicas: 6,3,8 Isr: 6,3,8
